total_trades,total_pnl,win_rate,avg_pnl,median_pnl,std_pnl,max_pnl,min_pnl,max_drawdown,avg_holding_time_seconds,median_holding_time_seconds,symbol
958,-102.30253052438857,0.3298538622129436,-0.10678761015071876,-0.4999999999999999,0.5948988109570175,3.3541782343380833,-0.8713464370363389,-128.1628793991366,0.9530271398747391,0.0,EIGENUSDT
483,-10.71797848977863,0.3250517598343685,-0.02219043165585638,-0.2200291608947606,0.6398599732472929,3.0439172649929302,-0.5067840303362559,-52.613795043020524,2.130434782608696,1.0,LPTUSDT
304,-22.66609001380261,0.3026315789473684,-0.0745595066243507,-0.4999999999999999,0.6907060800940054,3.2541869613304435,-0.5819887524115944,-52.11024540407362,1.6282894736842106,0.0,NMRUSDT
763,-137.46904265977886,0.290956749672346,-0.18016912537323573,-0.49999999999999994,0.5249504278346898,4.704712200755965,-0.573161996899773,-149.4633218707222,0.5937090432503277,0.0,SNXUSDT
291,-62.075895270672454,0.30584192439862545,-0.2133192277342696,-0.49999999999999994,0.44263559832027,2.528139599475333,-0.49999999999999994,-61.61898469984829,0.5567010309278351,0.0,PUMPUSDT
1139,-113.69877792826811,0.24319578577699735,-0.09982333444097288,-0.49999999999999994,0.8286941917249364,5.199900389075296,-0.5277118119873337,-167.09141100846531,0.7287093942054433,0.0,TIAUSDT
731,-74.09656010893607,0.3337893296853625,-0.10136328332275797,-0.40248643863503497,0.608310424958271,3.8004191353287755,-0.5,-93.51978136547211,0.9233926128590971,1.0,PENGUUSDT
156,-15.371070753222188,0.33974358974358976,-0.09853250482834736,-0.4999999999999999,0.5692011802772476,2.2954058047575985,-0.5,-20.721100996052723,1.0128205128205128,0.0,SOLUSDT
415,392.32602600240995,0.691566265060241,0.9453639180780963,0.5439835207453292,1.4606014260080027,6.401429786417022,-0.5145287039062139,-2.5,1.9566265060240964,1.0,ONDOUSDT
61,-19.134721603556983,0.21311475409836064,-0.3136839607140489,-0.49999999999999994,0.33957296010215215,0.5469743702988723,-0.5,-19.155329612935883,0.45901639344262296,0.0,XRPUSDT
399,128.37445332838615,0.47117794486215536,0.32174048453229614,-0.04022347242189561,1.0553360008479205,5.690699927515567,-0.5,-24.995291037676928,1.8771929824561404,1.0,KAITOUSDT
402,-87.7222239262992,0.2736318407960199,-0.2182144873788537,-0.49999999999999994,0.4311067068088083,1.2288939091865565,-0.5,-87.35973296274805,0.5771144278606966,0.0,1000BONKUSDT
223,-16.869626570601625,0.3094170403587444,-0.07564854964395347,-0.49999999999999994,0.6409568446937486,2.5190460036478237,-0.49999999999999994,-31.256554825526003,1.0762331838565022,0.0,1000FLOKIUSDT
223,-16.67819319211363,0.34080717488789236,-0.07479010400050955,-0.360610882388434,0.5599192565152574,1.8462998771197205,-0.5017739934956273,-17.153352130633657,1.704035874439462,1.0,ADAUSDT
381,-70.82033262257748,0.27296587926509186,-0.18588013811700127,-0.49999999999999994,0.42754506245029733,1.5808188798222584,-0.5004346955699694,-76.28144185640814,0.905511811023622,1.0,ARBUSDT
93,-23.745381081203067,0.22580645161290322,-0.2553266782925061,-0.49999999999999994,0.38087963283583975,1.1565983791855021,-0.49999999999999994,-23.835415029146773,0.8817204301075269,0.0,AVAXUSDT
75,-7.520046818120462,0.38666666666666666,-0.10026729090827283,-0.34966279246336845,0.49089446169716394,1.2974964989277322,-0.5,-8.493533475878358,1.1466666666666667,1.0,DOGEUSDT
833,-104.80004304597306,0.34813925570228094,-0.12581037580548987,-0.49999999999999994,0.5749475005321137,3.5898084483806243,-0.5159737629583943,-109.33862322253961,0.6146458583433373,0.0,ENAUSDT
649,-100.95798227428267,0.300462249614792,-0.15555929472154495,-0.49999999999999994,0.5294779336021483,2.6936381384275325,-0.5092781639659204,-127.53994804530629,0.8012326656394453,0.0,ETHFIUSDT
390,-85.24861490469661,0.28205128205128205,-0.21858619206332464,-0.49999999999999994,0.4363405242046742,1.7435491643123333,-0.5,-85.40139281195474,0.4641025641025641,0.0,FETUSDT
239,29.509079847565076,0.42677824267782427,0.12346895333709236,-0.14002206343736712,0.820881369881426,3.171992301840265,-0.5,-19.894391673544185,1.0753138075313808,1.0,PNUTUSDT
376,-12.590754830839106,0.3617021276595745,-0.0334860500820189,-0.49999999999999994,0.7058075324796703,3.0220125442017705,-0.5,-41.50781634902399,0.7340425531914894,0.0,SKLUSDT
484,83.2926774128507,0.365702479338843,0.17209230870423697,-0.4999999999999999,1.1258279260985002,5.11408503127044,-0.5770685796367565,-44.25610432641512,1.0661157024793388,0.0,XCNUSDT
125,-22.432466924068137,0.296,-0.1794597353925451,-0.49999999999999994,0.4570649297988897,1.3599709102540927,-0.49999999999999994,-25.838055949020916,0.632,0.0,TRUMPUSDT
828,-6.257819455625025,0.3780193236714976,-0.007557752965730707,-0.4999999999999999,0.6658605188804506,2.699649196954684,-0.5878850994693406,-51.719610692289784,1.1304347826086956,0.0,WLDUSDT
253,-68.97657147276368,0.23715415019762845,-0.27263466985282087,-0.49999999999999994,0.3268322185595397,0.8708847609654463,-0.5,-69.22604860003118,1.0118577075098814,0.0,1000PEPEUSDT
184,-19.911947453917428,0.3532608695652174,-0.10821710572781211,-0.17519517409156452,0.4211935553323137,1.4971444632092874,-0.5,-21.991733497820594,1.7228260869565217,1.0,ASRUSDT
